Name;Acronym;State Acronym;Institution Type
Faculdade de Administração de Teresina;FAT;PI;Outros
Faculdade de Administração e Artes de Limeira;FAAL;SP;Outros
Faculdade de Administração e Ciências Contábeis de São Roque;FACCSR;SP;Outros
Faculdade de Administração e Ciências Contábeis Luzwell;LUZWELL;SP;Outros
Faculdade de Administração e Informática;FAI;MG;Outros
Faculdade de Administração e Negócios de Monte Alto;FAN;SP;Outros
Faculdade de Administração e Negócios de Sergipe;FANESE;SE;Outros
Faculdade de Administração Escola Superior Professor Paulo Martins;ESPAM;DF;Outros
Faculdade de Administração Jk;Faculdade JK;DF;Outros
Faculdade de Administração Milton Campos;FAMC;MG;Outros
Faculdade de Administração São Paulo;FAPI;SP;Outros
Faculdade de Administração, Ciências, Educação e Letras;FACEL;PR;Outros
Faculdade de Agronomia e Engenharia Florestal de Garça;FAEF;SP;Outros
Faculdade de Agudos;FAAG;SP;Outros
Faculdade de Alagoas;FAL;AL;Outros
Faculdade de Amambai;FIAMA;MS;Outros
Faculdade de Americana;FAM;SP;Outros
Faculdade de Apucarana;FAP;PR;Outros
Faculdade de Aracruz;FAACZ;ES;Outros
Faculdade de Arquitetura e Urbanismo de Pernambuco;FAUPE;PE;Outros
Faculdade de Arte e Design;FAD;MG;Outros
Faculdade de Artes do Paraná;FAP;PR;Outros
Faculdade de Artes Dulcina de Moraes;FADM;DF;Outros
Faculdade de Artes Plásticas da Fundação Armando Alvares Penteado;FAAP;SP;Outros
Faculdade de Artes, Ciências e Tecnologias;FACET;BA;Outros
Faculdade de Arujá;FAR;SP;Outros
Faculdade de Assuntos Acadêmicos e Científicos Monsenhor Edisson Vieira Lício;FAACI;SP;Outros
Faculdade de Auriflama;FAU;SP;Outros
Faculdade de Belém;FABEL;PA;Outros
Faculdade de Belford Roxo;FABEL;RJ;Outros
Faculdade de Biblioteconomia e Ciência da Informação;FaBCI;SP;Outros
Faculdade de Cafelândia;FAC;PR;Outros
