Name,Acronym,city,state,country_name,country_code
Universidade Norte do Paraná,UNOPAR,Londrina,None,Brazil,BR
Centro Universitário de Desenvolvimento do Centro Oeste,UNIDESC,Luziânia,None,Brazil,BR
Sociedade de Ensino Universitário do Nordeste,SEUNE,Maceió,None,Brazil,BR
Centro Universitário de Ensino Superior do Amazonas,CIESA,Manaus,None,Brazil,BR
Centro Universitário do Norte,UniNorte,Manaus,None,Brazil,BR
Universidade Nilton Lins,None,Manaus,None,Brazil,BR
Universidade de Marília,Unimar,Marília,None,Brazil,BR
Centro Universitário Cesumar,None,Maringá,None,Brazil,BR
Universidade Braz Cubas,None,Mogi das Cruzes,None,Brazil,BR
Universidade Potiguar,UNP,Natal,None,Brazil,BR
Centro Universitário Plínio Leite,UNIPLI,Niterói,None,Brazil,BR
Universidade Iguaçu,UNIG,Nova Iguaçu,None,Brazil,BR
Centro Universitário Barriga Verde,UNIBAVE,Orleans,None,Brazil,BR
Centro Universitário FIEO,UNIFIEO,Osasco,None,Brazil,BR
Centro Universitário Católico do Sudoeste do Paraná,UNICS,Palmas,None,Brazil,BR
Universidade do Tocantins,Unitins,Palmas,None,Brazil,BR
Centro Universitário de Patos de Minas,UNIPAM,Patos de Minas,None,Brazil,BR
Centro Universitário do Cerrado Patrocínio,UNICERP,Patrocínio,None,Brazil,BR
Catholic University of Petrópolis,UCP,Petrópolis,None,Brazil,BR
Laureate International Universities,None,Porto Alegre,None,Brazil,BR
Universidade do Vale do Sapucaí,Univás,Pouso Alegre,None,Brazil,BR
Catholic University of Pernambuco,Unicap,Recife,None,Brazil,BR
Centro Universitário Barão de Mauá,None,Ribeirão Preto,None,Brazil,BR
Centro Universitário Moura Lacerda,None,Ribeirão Preto,None,Brazil,BR
Universidade José do Rosário Vellano,Unifenas,Alfenas,None,Brazil,BR
Centro Universitário Salesiano de São Paulo,UNISAL,Americana,None,Brazil,BR
Colégio Metodista Bennett,None,Rio de Janeiro,None,Brazil,BR
Centro Universitário Amparense,UNIFIA,Amparo,None,Brazil,BR
University Center Augusto Motta,None,Rio de Janeiro,None,Brazil,BR
Centro Universitário de Anápolis,None,Anápolis,None,Brazil,BR
Centro Universitário Carioca,None,Rio de Janeiro,None,Brazil,BR
Centro Universitário Celso Lisboa,None,Rio de Janeiro,None,Brazil,BR
Universidade Tiradentes,UNIT,Aracaju,None,Brazil,BR
Centro Universitário da Cidade,UniverCidade,Rio de Janeiro,None,Brazil,BR
Centro Universitário Católico Salesiano Auxilium,UNISALESIANO,Araçatuba,None,Brazil,BR
Universidade Cândido Mendes,None,Rio de Janeiro,None,Brazil,BR
Centro Universitario Toledo,UniToledo,Araçatuba,None,Brazil,BR
Universidade Castelo Branco,UCB,Rio de Janeiro,None,Brazil,BR
Centro Universitário de Araraquara,None,Araraquara,None,Brazil,BR
Universidade Unigranrio,None,Rio de Janeiro,None,Brazil,BR
Universidade para o Desenvolvimento do Alto Vale do Itajaí,UNIDAVI,Rio do Sul,None,Brazil,BR
Centro Universitario de Araras Dr Edmunso Ulson,UNAR,Araras,None,Brazil,BR
Universidade de Rio Verde,UniRV,Rio Verde de Mato Grosso,Goiás,Brazil,BR
Centro Universitário Herminio Ometto de Araras,None,Araras,None,Brazil,BR
Centro Universitário do Planalto de Araxá,Uniaraxá,Araxá,None,Brazil,BR
Universidade da Região da Campanha,URCAMP,Bagé,None,Brazil,BR
Universidade Presidente Antônio Carlos,UNIPAC,Barbacena,None,Brazil,BR
Jorge Amado University Center,Unijorge,Salvador,None,Brazil,BR
Universidade Católica de Salvador,UCSal,Salvador,None,Brazil,BR
Centro Universitário de Barra Mansa,UBM,Barra Mansa,None,Brazil,BR
Centro Universitário da Fundação Educacional de Barretos,UNIFEB,Barretos,None,Brazil,BR
Centro Universitário Claretiano,CEUCLAR,Batatais,None,Brazil,BR
Centro Universitário do Pará,Cesupa,Belém,None,Brazil,BR
Universidade da Amazônia,UNAMA,Belém,None,Brazil,BR
State University of Pará,UEPA,Belém,None,Brazil,BR
Bahia State University,UNEB,Salvador,None,Brazil,BR
Universidade Salvador,None,Salvador,None,Brazil,BR
University of Santa Cruz do Sul,UNISC,Santa Cruz do Sul,None,Brazil,BR
Centro Universitário Fundação Santo André,FSA,Santo André,None,Brazil,BR
Centro Universitário Lusíada,UNILUS,Santos,None,Brazil,BR
Uniabeu Centro Universitário,None,Belford Roxo,None,Brazil,BR
Centro Universitário Monte Serrat,CSJT,Santos,None,Brazil,BR
Universidade Metropolitana de Santos,UNIMES,Santos,None,Brazil,BR
Instituto Metodista Izabela Hendrix,None,Belo Horizonte,None,Brazil,BR
Minas Gerais State University,UEMG,Belo Horizonte,None,Brazil,BR
Universidade Santa Cecília,UNISANTA,Santos,None,Brazil,BR
Universidade Fundação Mineira de Educação e Cultura,FUMEC,Belo Horizonte,None,Brazil,BR
University Center of Brasília,UNICEUB,Brasília,None,Brazil,BR
Instituto Mauá de Tecnologia,IMT,São Caetano do Sul,None,Brazil,BR
Centro Universitário Euroamericano,UNIEURO,Brasília,None,Brazil,BR
